Transaction_ID,Date,Category,Subcategory,Description,Amount,Type,Payment_Method,Merchant,City
TXN00227,2025-01-10,Freelance,Project Income,Project Income,29692.67,Income,Cash,Bank,Delhi
TXN00733,2025-01-10,Transport,Parking,Parking,209.88,Expense,UPI,Indian Oil,Bengaluru
TXN00779,2025-01-10,Shopping,Personal Care,Personal Care,3885.8,Expense,UPI,Flipkart,Bengaluru
TXN01129,2025-01-10,Entertainment,Games,Games,262.47,Expense,UPI,Netflix,Hyderabad
TXN00079,2025-01-12,Food,Groceries,Groceries,141.01,Expense,Bank Transfer,Cafe Coffee Day,Pune
TXN00216,2025-01-12,Food,Restaurant,Restaurant,202.51,Expense,Cash,Reliance Fresh,Hyderabad
TXN00246,2025-01-12,Interest,Bank Interest,Bank Interest,60403.23,Income,Debit Card,Employer,Delhi
TXN00440,2025-01-12,Bonus,Performance Bonus,Performance Bonus,40387.06,Income,Cash,Employer,Mumbai
TXN00813,2025-01-12,Bills,Utilities,Utilities,2210.54,Expense,UPI,MSEDCL,Bengaluru
TXN00997,2025-01-12,Transport,Public Transport,Public Transport,106.16,Expense,Cash,Uber,Delhi
TXN01049,2025-01-12,Transport,Parking,Parking,136.06,Expense,Debit Card,Uber,Pune
TXN01326,2025-01-12,Bills,Utilities,Utilities,767.05,Expense,Cash,Jio,Hyderabad
TXN00114,2025-01-13,Food,Cafe,Cafe,100.88,Expense,UPI,Swiggy,Mumbai
TXN00565,2025-01-13,Salary,Monthly Salary,Monthly Salary,51425.78,Income,Credit Card,Employer,Mumbai
TXN00766,2025-01-13,Freelance,Project Income,Project Income,24720.92,Income,Bank Transfer,Employer,Pune
TXN01165,2025-01-13,Salary,Monthly Salary,Monthly Salary,47551.82,Income,Bank Transfer,Freelance Client,Nagpur
TXN01394,2025-01-13,Bills,Utilities,Utilities,4824.42,Expense,UPI,MSEDCL,Bengaluru
TXN01409,2025-01-13,Freelance,Project Income,Project Income,39086.88,Income,Cash,Bank,Pune
TXN00312,2025-01-14,Health,Healthcare,Healthcare,2942.75,Expense,Debit Card,Cult Fit,Hyderabad
TXN01421,2025-01-14,Food,Food Delivery,Food Delivery,192.26,Expense,Debit Card,Cafe Coffee Day,Delhi
TXN00122,2025-01-15,Bills,Internet,Internet,1670.35,Expense,Bank Transfer,Jio,Delhi
TXN01385,2025-01-15,Travel,Local Travel,Local Travel,3936.57,Expense,Bank Transfer,IRCTC,Mumbai
TXN00347,2025-01-16,Bills,Electricity,Electricity,2633.96,Expense,Credit Card,MSEDCL,Bengaluru
TXN00162,2025-01-17,Shopping,Home,Home,2499.16,Expense,Debit Card,Croma,Hyderabad
TXN00529,2025-01-17,Shopping,Clothing,Clothing,667.19,Expense,UPI,Myntra,Hyderabad
TXN00962,2025-01-17,Food,Food Delivery,Food Delivery,1425.77,Expense,Cash,Reliance Fresh,Pune
TXN00948,2025-01-18,Entertainment,Events,Events,2961.12,Expense,Credit Card,Netflix,Nagpur
TXN01324,2025-01-18,Freelance,Project Income,Project Income,28530.52,Income,UPI,Employer,Nagpur
TXN00858,2025-01-19,Investments,FD,FD,6438.23,Expense,UPI,Zerodha,Mumbai
TXN00045,2025-01-20,Entertainment,Events,Events,2157.82,Expense,Cash,BookMyShow,Pune
TXN01419,2025-01-20,Food,Cafe,Cafe,150.28,Expense,Bank Transfer,Zomato,Hyderabad
TXN00200,2025-01-21,Education,Learning,Learning,5598.35,Expense,Bank Transfer,Coursera,Mumbai
TXN01294,2025-01-21,Transport,Parking,Parking,412.93,Expense,UPI,Indian Oil,Bengaluru
TXN00759,2025-01-22,Travel,Flights,Flights,4157.85,Expense,UPI,OYO,Pune
TXN00120,2025-01-23,Bills,Electricity,Electricity,969.28,Expense,Credit Card,MSEDCL,Delhi
TXN01108,2025-01-23,Transport,Cab,Cab,86.29,Expense,Bank Transfer,Indian Oil,Mumbai
TXN01231,2025-01-23,Food,Restaurant,Restaurant,600.71,Expense,Credit Card,Reliance Fresh,Nagpur
TXN00412,2025-01-25,Food,Restaurant,Restaurant,2041.72,Expense,Cash,Cafe Coffee Day,Nagpur
TXN01174,2025-01-25,Bonus,Performance Bonus,Performance Bonus,25137.48,Income,UPI,Bank,Delhi
TXN01439,2025-01-25,Food,Restaurant,Restaurant,675.82,Expense,UPI,Zomato,Delhi
TXN00369,2025-01-26,Freelance,Project Income,Project Income,46181.77,Income,Cash,Bank,Nagpur
TXN00680,2025-01-26,Transport,Fuel,Fuel,517.04,Expense,Debit Card,Indian Oil,Bengaluru
TXN00832,2025-01-26,Investments,Mutual Fund,Mutual Fund,2254.36,Expense,UPI,SBI,Mumbai
TXN01456,2025-01-26,Bills,Electricity,Electricity,1426.92,Expense,Credit Card,ACT Fibernet,Delhi
TXN01459,2025-01-26,Travel,Local Travel,Local Travel,1148.8,Expense,UPI,IndiGo,Hyderabad
TXN01380,2025-01-27,Entertainment,Events,Events,2704.7,Expense,UPI,Spotify,Bengaluru
TXN01472,2025-01-27,Shopping,Electronics,Electronics,12909.8,Expense,Credit Card,Flipkart,Hyderabad
TXN00103,2025-01-28,Salary,Monthly Salary,Monthly Salary,55070.45,Income,Cash,Employer,Nagpur
TXN00921,2025-01-28,Shopping,Home,Home,7368.88,Expense,Cash,Croma,Nagpur
TXN01052,2025-01-29,Food,Restaurant,Restaurant,2488.45,Expense,Cash,Swiggy,Bengaluru
TXN01230,2025-01-29,Bills,Electricity,Electricity,795.63,Expense,Debit Card,ACT Fibernet,Hyderabad
TXN00308,2025-01-30,Entertainment,Events,Events,242.3,Expense,Credit Card,Netflix,Pune
TXN00387,2025-01-30,Travel,Local Travel,Local Travel,18480.92,Expense,UPI,IndiGo,Mumbai
TXN00189,2025-01-31,Food,Cafe,Cafe,1094.91,Expense,Credit Card,Swiggy,Bengaluru
TXN00431,2025-01-31,Shopping,Electronics,Electronics,5226.52,Expense,UPI,Myntra,Bengaluru
TXN00580,2025-02-01,Shopping,Home,Home,2035.09,Expense,UPI,Amazon,Bengaluru
TXN00935,2025-02-01,Bills,Internet,Internet,3120.14,Expense,Credit Card,ACT Fibernet,Nagpur
TXN00037,2025-02-02,Bills,Internet,Internet,635.3,Expense,Bank Transfer,Jio,Mumbai
TXN01224,2025-02-02,Freelance,Project Income,Project Income,54574.07,Income,Credit Card,Employer,Nagpur
TXN01041,2025-02-03,Freelance,Project Income,Project Income,48202.99,Income,UPI,Employer,Hyderabad
TXN01325,2025-02-03,Travel,Local Travel,Local Travel,23368.1,Expense,Bank Transfer,OYO,Bengaluru
TXN00717,2025-02-04,Entertainment,Streaming,Streaming,1337.09,Expense,UPI,BookMyShow,Nagpur
TXN00261,2025-02-05,Salary,Monthly Salary,Monthly Salary,34308.32,Income,UPI,Bank,Mumbai
TXN00193,2025-02-06,Interest,Bank Interest,Bank Interest,36542.7,Income,Debit Card,Bank,Nagpur
TXN00473,2025-02-07,Entertainment,Movies,Movies,1457.68,Expense,Credit Card,Netflix,Pune
TXN00171,2025-02-08,Salary,Monthly Salary,Monthly Salary,24509.65,Income,Bank Transfer,Freelance Client,Bengaluru
TXN00665,2025-02-08,Shopping,Personal Care,Personal Care,594.08,Expense,Debit Card,Croma,Pune
TXN01009,2025-02-08,Interest,Bank Interest,Bank Interest,29401.98,Income,Debit Card,Company Bonus,Mumbai
TXN01211,2025-02-08,Bills,Electricity,Electricity,3681.2,Expense,Bank Transfer,ACT Fibernet,Hyderabad
TXN01311,2025-02-08,Transport,Parking,Parking,78.8,Expense,Credit Card,Ola,Nagpur
TXN00345,2025-02-09,Bills,Mobile,Mobile,891.86,Expense,Cash,ACT Fibernet,Mumbai
TXN01008,2025-02-10,Freelance,Project Income,Project Income,36731.41,Income,UPI,Employer,Mumbai
TXN00825,2025-02-11,Shopping,Home,Home,5815.15,Expense,UPI,Flipkart,Bengaluru
TXN00911,2025-02-11,Food,Groceries,Groceries,881.62,Expense,Bank Transfer,Zomato,Mumbai
TXN00095,2025-02-12,Food,Restaurant,Restaurant,151.01,Expense,Debit Card,Reliance Fresh,Delhi
TXN00505,2025-02-12,Transport,Parking,Parking,69.37,Expense,UPI,Uber,Hyderabad
TXN00672,2025-02-12,Bonus,Performance Bonus,Performance Bonus,25271.78,Income,Bank Transfer,Company Bonus,Mumbai
TXN01101,2025-02-12,Health,Doctor,Doctor,247.49,Expense,Credit Card,Practo,Bengaluru
TXN01381,2025-02-12,Investments,Mutual Fund,Mutual Fund,4231.57,Expense,UPI,SBI Mutual Fund,Bengaluru
TXN01410,2025-02-12,Salary,Monthly Salary,Monthly Salary,37282.56,Income,Credit Card,Company Bonus,Hyderabad
TXN00341,2025-02-13,Bills,Internet,Internet,2145.91,Expense,UPI,Jio,Mumbai
TXN00435,2025-02-13,Freelance,Project Income,Project Income,43911.85,Income,Credit Card,Freelance Client,Delhi
TXN00209,2025-02-15,Interest,Bank Interest,Bank Interest,47103.5,Income,UPI,Freelance Client,Pune
TXN01166,2025-02-15,Bills,Electricity,Electricity,2964.46,Expense,Credit Card,MSEDCL,Nagpur
TXN00321,2025-02-16,Freelance,Project Income,Project Income,52472.2,Income,UPI,Company Bonus,Pune
TXN01116,2025-02-16,Education,Certification,Certification,7462.01,Expense,Cash,Udemy,Bengaluru
TXN00015,2025-02-17,Entertainment,Movies,Movies,881.84,Expense,Debit Card,Spotify,Mumbai
TXN00558,2025-02-17,Investments,Stocks,Stocks,3005.82,Expense,Bank Transfer,Zerodha,Mumbai
TXN00374,2025-02-18,Freelance,Project Income,Project Income,37407.47,Income,UPI,Bank,Pune
TXN00447,2025-02-18,Shopping,Electronics,Electronics,2469.16,Expense,UPI,Croma,Delhi
TXN00452,2025-02-19,Transport,Cab,Cab,101.26,Expense,Debit Card,Uber,Bengaluru
TXN00754,2025-02-19,Shopping,Home,Home,1178.73,Expense,Credit Card,Flipkart,Bengaluru
TXN00046,2025-02-20,Bills,Electricity,Electricity,1761.22,Expense,UPI,Airtel,Bengaluru
TXN00818,2025-02-20,Bills,Internet,Internet,5524.88,Expense,Bank Transfer,ACT Fibernet,Nagpur
TXN00518,2025-02-21,Travel,Flights,Flights,15684.49,Expense,Bank Transfer,OYO,Bengaluru
TXN01417,2025-02-21,Food,Restaurant,Restaurant,428.8,Expense,Bank Transfer,Reliance Fresh,Pune
TXN00421,2025-02-22,Bills,Mobile,Mobile,460.26,Expense,Credit Card,ACT Fibernet,Bengaluru
TXN00705,2025-02-22,Transport,Public Transport,Public Transport,66.63,Expense,Bank Transfer,Ola,Mumbai
TXN00047,2025-02-23,Shopping,Personal Care,Personal Care,867.89,Expense,Cash,Amazon,Hyderabad
TXN00179,2025-02-23,Education,Certification,Certification,11807.36,Expense,Bank Transfer,Skill Course,Mumbai
TXN00687,2025-02-23,Food,Groceries,Groceries,121.74,Expense,Cash,Zomato,Nagpur
TXN01413,2025-02-23,Transport,Parking,Parking,106.08,Expense,Bank Transfer,HP Petrol,Delhi
TXN00851,2025-02-24,Bills,Electricity,Electricity,4330.33,Expense,Credit Card,Jio,Pune
TXN01127,2025-02-24,Interest,Bank Interest,Bank Interest,45310.68,Income,Cash,Bank,Hyderabad
TXN01205,2025-02-24,Entertainment,Movies,Movies,410.63,Expense,UPI,Netflix,Delhi
TXN00787,2025-02-25,Bills,Internet,Internet,2537.0,Expense,Debit Card,Jio,Pune
TXN01249,2025-02-25,Transport,Parking,Parking,428.42,Expense,UPI,Ola,Bengaluru
TXN00315,2025-02-26,Shopping,Home,Home,2206.9,Expense,Debit Card,Croma,Hyderabad
TXN00821,2025-02-26,Freelance,Project Income,Project Income,46971.68,Income,UPI,Company Bonus,Hyderabad
TXN00865,2025-02-26,Food,Groceries,Groceries,1387.98,Expense,UPI,Cafe Coffee Day,Nagpur
TXN01345,2025-02-26,Food,Restaurant,Restaurant,108.97,Expense,Credit Card,Reliance Fresh,Hyderabad
TXN00050,2025-02-27,Salary,Monthly Salary,Monthly Salary,41227.86,Income,UPI,Freelance Client,Bengaluru
TXN00051,2025-02-27,Shopping,Personal Care,Personal Care,433.12,Expense,UPI,Flipkart,Hyderabad
TXN00076,2025-02-27,Interest,Bank Interest,Bank Interest,43404.18,Income,Bank Transfer,Employer,Mumbai
TXN00264,2025-02-27,Entertainment,Games,Games,1089.34,Expense,UPI,Steam,Mumbai
TXN00590,2025-02-27,Investments,FD,FD,7122.98,Expense,Debit Card,Zerodha,Pune
TXN00676,2025-02-27,Transport,Cab,Cab,1088.18,Expense,Bank Transfer,Uber,Mumbai
TXN00218,2025-02-28,Food,Cafe,Cafe,126.16,Expense,UPI,Swiggy,Bengaluru
TXN00232,2025-02-28,Bills,Internet,Internet,467.86,Expense,Bank Transfer,ACT Fibernet,Pune
TXN00442,2025-02-28,Food,Restaurant,Restaurant,221.18,Expense,Cash,Swiggy,Hyderabad
TXN01194,2025-02-28,Investments,FD,FD,6834.92,Expense,Credit Card,SBI Mutual Fund,Bengaluru
TXN01234,2025-02-28,Food,Restaurant,Restaurant,1019.33,Expense,UPI,Swiggy,Mumbai
TXN00256,2025-03-01,Travel,Local Travel,Local Travel,1663.91,Expense,Credit Card,OYO,Hyderabad
TXN00622,2025-03-01,Freelance,Project Income,Project Income,24603.81,Income,Credit Card,Freelance Client,Pune
TXN00975,2025-03-01,Shopping,Electronics,Electronics,1766.89,Expense,Bank Transfer,Flipkart,Delhi
TXN00097,2025-03-02,Food,Restaurant,Restaurant,245.16,Expense,Bank Transfer,Zomato,Delhi
TXN00160,2025-03-02,Shopping,Home,Home,7391.82,Expense,Bank Transfer,Myntra,Bengaluru
TXN00547,2025-03-02,Transport,Parking,Parking,602.62,Expense,Bank Transfer,Uber,Mumbai
TXN01312,2025-03-02,Freelance,Project Income,Project Income,40868.57,Income,Bank Transfer,Employer,Delhi
TXN00932,2025-03-03,Freelance,Project Income,Project Income,32457.39,Income,Cash,Employer,Pune
TXN00513,2025-03-04,Shopping,Clothing,Clothing,974.07,Expense,Bank Transfer,Amazon,Mumbai
TXN00562,2025-03-05,Shopping,Personal Care,Personal Care,354.05,Expense,Credit Card,Croma,Nagpur
TXN00084,2025-03-06,Investments,FD,FD,11165.17,Expense,UPI,SBI Mutual Fund,Delhi
TXN00771,2025-03-06,Food,Food Delivery,Food Delivery,181.35,Expense,UPI,Reliance Fresh,Bengaluru
TXN00777,2025-03-06,Bills,Electricity,Electricity,3325.25,Expense,Cash,MSEDCL,Hyderabad
TXN01126,2025-03-07,Health,Pharmacy,Pharmacy,636.7,Expense,UPI,Practo,Hyderabad
TXN01196,2025-03-08,Food,Groceries,Groceries,188.07,Expense,Bank Transfer,Cafe Coffee Day,Bengaluru
TXN00127,2025-03-10,Investments,SIP,SIP,2078.85,Expense,Credit Card,Zerodha,Delhi
TXN00489,2025-03-10,Bonus,Performance Bonus,Performance Bonus,45839.2,Income,UPI,Employer,Mumbai
TXN00735,2025-03-10,Bills,Internet,Internet,2294.07,Expense,Bank Transfer,Jio,Bengaluru
TXN00761,2025-03-10,Shopping,Clothing,Clothing,666.99,Expense,Bank Transfer,Amazon,Pune
TXN00262,2025-03-11,Food,Restaurant,Restaurant,124.31,Expense,Bank Transfer,Cafe Coffee Day,Bengaluru
TXN00612,2025-03-11,Shopping,Home,Home,3946.09,Expense,Credit Card,Myntra,Hyderabad
TXN01252,2025-03-11,Food,Food Delivery,Food Delivery,640.99,Expense,Debit Card,Cafe Coffee Day,Bengaluru
TXN01258,2025-03-11,Entertainment,Games,Games,336.15,Expense,Bank Transfer,BookMyShow,Nagpur
TXN00768,2025-03-12,Investments,SIP,SIP,2226.05,Expense,UPI,Zerodha,Bengaluru
TXN00856,2025-03-12,Bills,Mobile,Mobile,5355.35,Expense,Cash,ACT Fibernet,Bengaluru
TXN00940,2025-03-12,Freelance,Project Income,Project Income,38473.57,Income,Credit Card,Company Bonus,Nagpur
TXN00947,2025-03-13,Entertainment,Movies,Movies,521.0,Expense,Bank Transfer,Netflix,Bengaluru
TXN01140,2025-03-13,Food,Cafe,Cafe,323.83,Expense,Cash,Reliance Fresh,Bengaluru
TXN00099,2025-03-14,Bonus,Performance Bonus,Performance Bonus,45817.59,Income,Debit Card,Employer,Hyderabad
TXN00498,2025-03-14,Bills,Electricity,Electricity,675.81,Expense,Cash,Jio,Pune
TXN00325,2025-03-15,Entertainment,Streaming,Streaming,174.16,Expense,Credit Card,Steam,Mumbai
TXN00643,2025-03-17,Bills,Internet,Internet,361.11,Expense,Debit Card,Airtel,Mumbai
TXN01263,2025-03-17,Shopping,Clothing,Clothing,435.13,Expense,Cash,Croma,Pune
TXN01119,2025-03-18,Health,Doctor,Doctor,602.2,Expense,Credit Card,Practo,Nagpur
TXN00101,2025-03-19,Health,Doctor,Doctor,490.69,Expense,Debit Card,Cult Fit,Delhi
TXN00993,2025-03-19,Entertainment,Movies,Movies,1400.15,Expense,Debit Card,Netflix,Delhi
TXN01422,2025-03-19,Transport,Parking,Parking,760.1,Expense,Debit Card,Uber,Hyderabad
TXN00443,2025-03-20,Interest,Bank Interest,Bank Interest,43662.32,Income,UPI,Freelance Client,Hyderabad
TXN00767,2025-03-20,Entertainment,Streaming,Streaming,744.9,Expense,Cash,BookMyShow,Mumbai
TXN00795,2025-03-20,Transport,Public Transport,Public Transport,68.32,Expense,Credit Card,HP Petrol,Nagpur
TXN00976,2025-03-20,Travel,Hotel,Hotel,5734.93,Expense,UPI,IndiGo,Pune
TXN01067,2025-03-20,Health,Healthcare,Healthcare,848.18,Expense,Debit Card,Practo,Pune
TXN01024,2025-03-21,Shopping,Personal Care,Personal Care,856.78,Expense,Debit Card,Amazon,Bengaluru
TXN00163,2025-03-22,Entertainment,Streaming,Streaming,316.9,Expense,UPI,Steam,Bengaluru
TXN01278,2025-03-22,Education,Certification,Certification,5823.91,Expense,UPI,Udemy,Bengaluru
TXN01457,2025-03-22,Entertainment,Movies,Movies,226.98,Expense,Bank Transfer,Steam,Delhi
TXN01086,2025-03-23,Freelance,Project Income,Project Income,41315.61,Income,Bank Transfer,Bank,Nagpur
TXN00637,2025-03-24,Shopping,Personal Care,Personal Care,10838.73,Expense,UPI,Croma,Bengaluru
TXN01321,2025-03-24,Shopping,Personal Care,Personal Care,2325.96,Expense,UPI,Amazon,Hyderabad
TXN00199,2025-03-25,Transport,Fuel,Fuel,85.91,Expense,Cash,Ola,Hyderabad
TXN00467,2025-03-25,Transport,Fuel,Fuel,97.42,Expense,Debit Card,Indian Oil,Delhi
TXN00807,2025-03-25,Food,Food Delivery,Food Delivery,1530.46,Expense,Debit Card,Reliance Fresh,Mumbai
TXN01242,2025-03-25,Food,Groceries,Groceries,607.3,Expense,Cash,Reliance Fresh,Bengaluru
TXN00853,2025-03-26,Food,Restaurant,Restaurant,106.46,Expense,Cash,Swiggy,Hyderabad
TXN01029,2025-03-26,Investments,Stocks,Stocks,1407.75,Expense,Bank Transfer,HDFC Securities,Bengaluru
TXN01109,2025-03-26,Shopping,Home,Home,1948.55,Expense,Credit Card,Amazon,Bengaluru
TXN00165,2025-03-27,Food,Restaurant,Restaurant,260.42,Expense,Credit Card,Reliance Fresh,Mumbai
TXN00679,2025-03-27,Bills,Electricity,Electricity,602.09,Expense,Cash,Airtel,Pune
TXN01038,2025-03-27,Transport,Fuel,Fuel,65.54,Expense,Debit Card,Indian Oil,Bengaluru
TXN00142,2025-03-28,Travel,Local Travel,Local Travel,4005.37,Expense,UPI,MakeMyTrip,Mumbai
TXN00395,2025-03-28,Investments,Mutual Fund,Mutual Fund,1328.31,Expense,Debit Card,SBI Mutual Fund,Delhi
TXN00514,2025-03-29,Food,Cafe,Cafe,373.85,Expense,Credit Card,Reliance Fresh,Nagpur
TXN00724,2025-03-29,Food,Groceries,Groceries,1232.23,Expense,Cash,Reliance Fresh,Mumbai
TXN00829,2025-03-29,Food,Groceries,Groceries,1321.91,Expense,Bank Transfer,Cafe Coffee Day,Hyderabad
TXN01075,2025-03-29,Interest,Bank Interest,Bank Interest,37215.84,Income,UPI,Freelance Client,Delhi
TXN01292,2025-03-29,Food,Groceries,Groceries,1508.39,Expense,Cash,Cafe Coffee Day,Mumbai
TXN00119,2025-03-30,Shopping,Personal Care,Personal Care,10130.46,Expense,Bank Transfer,Flipkart,Delhi
TXN01236,2025-03-30,Salary,Monthly Salary,Monthly Salary,32225.81,Income,Bank Transfer,Freelance Client,Hyderabad
TXN00445,2025-03-31,Food,Groceries,Groceries,1236.63,Expense,Bank Transfer,Swiggy,Mumbai
TXN00646,2025-03-31,Interest,Bank Interest,Bank Interest,46138.11,Income,Bank Transfer,Freelance Client,Delhi
TXN00843,2025-03-31,Entertainment,Streaming,Streaming,1225.29,Expense,UPI,Steam,Bengaluru
TXN01169,2025-04-01,Bills,Electricity,Electricity,788.2,Expense,UPI,ACT Fibernet,Nagpur
TXN00373,2025-04-03,Entertainment,Streaming,Streaming,573.14,Expense,Cash,Spotify,Nagpur
TXN00528,2025-04-03,Food,Restaurant,Restaurant,145.83,Expense,Bank Transfer,Swiggy,Pune
TXN00563,2025-04-03,Food,Groceries,Groceries,108.37,Expense,Debit Card,Cafe Coffee Day,Mumbai
TXN00054,2025-04-04,Entertainment,Events,Events,201.08,Expense,Bank Transfer,Steam,Bengaluru
TXN01343,2025-04-04,Entertainment,Events,Events,799.61,Expense,Bank Transfer,Steam,Delhi
TXN01226,2025-04-05,Shopping,Clothing,Clothing,625.7,Expense,UPI,Myntra,Delhi
TXN00018,2025-04-06,Food,Cafe,Cafe,568.41,Expense,Bank Transfer,Swiggy,Bengaluru
TXN00868,2025-04-06,Bills,Internet,Internet,5434.71,Expense,Debit Card,ACT Fibernet,Bengaluru
TXN01391,2025-04-06,Education,Certification,Certification,4434.43,Expense,Credit Card,Skill Course,Delhi
TXN01500,2025-04-06,Bills,Internet,Internet,986.16,Expense,Cash,MSEDCL,Hyderabad
TXN00292,2025-04-07,Food,Food Delivery,Food Delivery,441.69,Expense,Debit Card,Cafe Coffee Day,Pune
TXN01305,2025-04-07,Education,Learning,Learning,1071.07,Expense,Bank Transfer,Skill Course,Bengaluru
TXN01433,2025-04-07,Travel,Flights,Flights,11768.53,Expense,Cash,OYO,Nagpur
TXN00337,2025-04-08,Shopping,Home,Home,935.02,Expense,Cash,Flipkart,Mumbai
TXN00063,2025-04-09,Shopping,Home,Home,1137.98,Expense,Bank Transfer,Croma,Bengaluru
TXN00282,2025-04-09,Interest,Bank Interest,Bank Interest,46010.46,Income,Cash,Freelance Client,Nagpur
TXN00951,2025-04-09,Education,Learning,Learning,803.94,Expense,UPI,Amazon Books,Hyderabad
TXN01351,2025-04-09,Transport,Public Transport,Public Transport,300.25,Expense,Debit Card,HP Petrol,Pune
TXN01200,2025-04-10,Freelance,Project Income,Project Income,39605.65,Income,Credit Card,Freelance Client,Mumbai
TXN00429,2025-04-11,Shopping,Personal Care,Personal Care,1930.97,Expense,Credit Card,Amazon,Delhi
TXN01148,2025-04-11,Travel,Hotel,Hotel,10544.21,Expense,Cash,IndiGo,Hyderabad
TXN01255,2025-04-11,Education,Course,Course,2126.47,Expense,Cash,Coursera,Nagpur
TXN00208,2025-04-12,Health,Fitness,Fitness,336.0,Expense,Cash,Local Clinic,Nagpur
TXN00244,2025-04-12,Bonus,Performance Bonus,Performance Bonus,51425.76,Income,Credit Card,Bank,Delhi
TXN00348,2025-04-12,Entertainment,Events,Events,1174.13,Expense,Debit Card,Spotify,Nagpur
TXN00405,2025-04-12,Bills,Mobile,Mobile,1841.73,Expense,UPI,Jio,Mumbai
TXN00001,2025-04-13,Food,Food Delivery,Food Delivery,682.91,Expense,Credit Card,Swiggy,Mumbai
TXN00048,2025-04-13,Salary,Monthly Salary,Monthly Salary,39290.83,Income,Debit Card,Bank,Bengaluru
TXN00630,2025-04-13,Entertainment,Games,Games,1428.84,Expense,Credit Card,BookMyShow,Pune
TXN00983,2025-04-13,Bills,Internet,Internet,2770.0,Expense,Bank Transfer,MSEDCL,Pune
TXN01036,2025-04-13,Bills,Internet,Internet,1209.1,Expense,Debit Card,ACT Fibernet,Pune
TXN00121,2025-04-14,Food,Groceries,Groceries,754.22,Expense,Credit Card,Reliance Fresh,Bengaluru
TXN00268,2025-04-14,Interest,Bank Interest,Bank Interest,37949.25,Income,Bank Transfer,Bank,Bengaluru
TXN00438,2025-04-14,Interest,Bank Interest,Bank Interest,45169.48,Income,Debit Card,Company Bonus,Delhi
TXN00291,2025-04-15,Interest,Bank Interest,Bank Interest,25940.67,Income,Cash,Employer,Hyderabad
TXN00382,2025-04-15,Education,Course,Course,2466.31,Expense,Debit Card,Coursera,Delhi
TXN01011,2025-04-15,Investments,SIP,SIP,16113.9,Expense,Debit Card,Zerodha,Bengaluru
TXN01281,2025-04-15,Food,Food Delivery,Food Delivery,2261.24,Expense,Cash,Cafe Coffee Day,Delhi
TXN00093,2025-04-16,Investments,SIP,SIP,19738.49,Expense,Credit Card,Zerodha,Nagpur
TXN00939,2025-04-16,Health,Fitness,Fitness,722.39,Expense,Bank Transfer,Cult Fit,Delhi
TXN01118,2025-04-16,Interest,Bank Interest,Bank Interest,31874.21,Income,UPI,Freelance Client,Hyderabad
TXN01154,2025-04-17,Health,Pharmacy,Pharmacy,2748.57,Expense,Credit Card,Apollo Pharmacy,Pune
